作者,看板,標題,日期,內容
FaithPrice (信仰的價值),fruits,[新聞] 13顆連體鳳梨如「連體嬰！」遊客爭睹拍照,Sun Jun 19 00:52:11 2016,"http://news.ltn.com.tw/news/life/breakingnews/1732669

    13顆連體鳳梨如「連體嬰！」遊客爭睹拍照

    http://img.ltn.com.tw/Upload/liveNews/BigPic/600_1732669_1.jpg

    〔記者湯世名／彰化報導〕

    連體13胞胎！彰化縣芬園鄉種植台鳳17號金鑽鳳梨的果農蘇文徹，最近採收時發現有
一株竟然是13顆連體共生，重達6公斤，不少農民好奇觀看，都說種鳳梨這麼多年，還是
首次看見如「連體嬰」般的變種鳳梨，農政專家獲悉後直呼「太罕見了！」並認為與氣候
異常有關。由於鳳梨被認為是代表「旺旺來」的水果，蘇文徹連忙將這株連體鳳梨採下，
放在該鄉寶藏寺正殿供奉，吸引遊客爭睹拍照。

    蘇文徹說，他們家族種植2分地面積鳳梨田，品種包括有台鳳17號金鑽鳳梨及台鳳2號
開英土鳳梨，最近適逢採收期，他們下田採收時，發現有20幾株金鑽鳳梨長相奇特，疑似
出現變體，有的像連體雙胞胎、四胞胎，有的呈扇形像是蛤蠣，還有體積更大如孔雀開屏
，令他們稱奇，最讓他們感到不可思議的是，其中一株竟然一口氣有13顆鳳梨連體共生，
同時還能分別長大成型，經砍除秤重竟重達6公斤，體積相當龐大。

    能種出這樣的鳳梨，大家都覺得很不可思議，不少農民好奇觀看，有農民說「沒看過
這種怪胎！」還有果農都說種鳳梨這麼多年，曾看過變體鳳梨或雙胞胎連體鳳梨，但連體
13胞胎的鳳梨還是首次看到。

    對於有農民種出連體13胞胎的鳳梨，對鳳梨有深入研究的農委會農業試驗所嘉義分所
副研究員官青杉獲悉時也直呼「太罕見！」官青杉說，台鳳17號金鑽鳳梨比較會出現整片
如扇形的變體鳳梨，二胞胎、四胞胎連體的不常見，更遑論是連體13胞胎，這應與年初帝
王級寒流來襲有關，當時鳳梨適逢「花芽分化」期，受超級寒流刺激而出現這種畸形果。

    官青杉說，這種外觀像扇形、孔雀開屏甚至「連體嬰」狀的變種鳳梨，果肉少，能吃
的部分不多，觀賞價值大於食用，一般來說民眾或寺廟會用來做為居家擺飾或供奉用途。

    https://youtu.be/Rn5l6EcjkPY

"
miss520 (http://uu520.pixnet.net),fruits,[廣宣] 市面少有超大型荔枝：愛心荔枝+甜蜜荔枝,Sun Jun 19 12:18:30 2016,"https://www.facebook.com/590762767755545/

特大愛心荔枝(一斤250)：寬5cm，長4-5cm
甜蜜荔枝(一斤150)：吃起來帶有香氣，甜度足，都比玉荷包大顆唷！
主要以帶梗以斤出售
盒裝價：特大愛心荔枝(12粒$390)，甜蜜荔枝(15粒$240)
昨天採收，市面少有，電話或line聯絡，以保新鮮
電話：0910866791
LINE：00910866791
面交：澄清湖後門，仁武裕豐家具門口為主，市區地點可約，網頁留訊
宅配：12斤以內運費190(冷凍運送)


      FB請搜""老爺園藝果園""

LINE:00910866791

最近又有山蕉囉，樹薯，七月有龍眼唷

人心果已售畢(等明年五六月囉)


"
Galvus (高糖優適),fruits,[新聞] 黑葉荔枝創天價！ 每台斤產地價飆到4、50,Mon Jun 20 01:21:22 2016,"黑葉荔枝創天價！ 每台斤產地價飆到4、50元

〔記者劉曉欣／芬園報導〕黑葉荔枝創天價，每台斤產地價飆到4、50元！彰化縣芬園鄉
果農蘇文徹表示，今年黑葉荔枝因為先後受到雨水與霸王級寒流雙重打擊，產量大減8成
，產期也跟著延後，產地價格跟去年相比飆漲4、5倍，是歷年來的天價。

蘇文徹表示，荔枝往年採收期大約是半個月，由於不能冷凍、不易貯存，去年產地批發價
格為每台斤12元左右，今年產量很少，可能一個星期就採收完畢，目前產地價格飆到每台
斤4、50元，是荔枝少見的好價格。

芬園鄉黑葉荔枝種植面積高達250公頃，是彰化縣荔枝最大產地，今年產量受到氣候異常
影響，先是去年底到今年初的冬雨，讓授粉受到影響，接著又遇到帝王級寒流，讓荔枝不
發芽，造成著果率大減8成，連帶產期也跟著延後。

「貴到快要買不下手！」不少家庭主婦上市場看到荔枝的價格，都以為看錯了，以前100
元都可以買到「一大堆」荔枝，今年100元只能買到「一點點」荔枝，今年的荔枝真是太
高貴了；民眾楊金洲表示，今年荔枝很少，就怕一旦不買，今年就再也吃不到荔枝了，
再貴，多少也要買一些來吃。

http://news.ltn.com.tw/news/life/breakingnews/1734310

(自由時報 105/06/18)

"
ssitt (芫荽),fruits,[發問] 請問這是什麼水果,Mon Jun 20 10:03:38 2016,"請問有哪位網友知道這是什麼水果嗎？
種子就莫名飛到我家院子
就長出來了...吃起來甜甜的 不酸 果肉是白色的
比櫻桃小一點
http://i.imgur.com/Dz7tZy1.jpg

"
pinwheel1017 (風車1017),fruits,[新聞] 〈中部〉台中荔枝外銷 100噸封櫃啟運,Tue Jun 21 02:04:27 2016,"    〔記者何宗翰／太平報導〕

    台中荔枝受到國際肯定，成功外銷馬來西亞、美國、日本及新加坡，今年外銷總計一
百五十公噸，其中太平地區就高達八十公噸，昨天進行百噸封櫃啟運。市長林佳龍表示，
荔枝是台中策略性外銷農產品，藉開拓國際市場來行銷台中，進而推動其他農產品國際化
。

    農業局昨舉辦「台中市荔枝外銷啟運」記者會，市長林佳龍、立委何欣純等人到場見
證，共同按下顯示「美荔大台中、開枝展外銷」字樣魔球，氣氛熱鬧。

    農業局表示，台中荔枝種植面積一千九百一十公頃，年產量約一萬六千公噸，主要產
地集中太平、霧峰、神岡、北屯、沙鹿、大里等地區，品種以黑葉、糯米?及桂味為主，
七成荔枝每年約在六、七月上市。

    「荔枝的總產量八％外銷的話，島內的價格就會穩定！」太平區農會總幹事余文欽表
示，荔枝產業非常弱勢，過去一百塊十二斤也有，由於加工價錢不好，外銷最大的困難就
是保鮮，目前「冷鏈式低溫」保存可以到廿一天，未來希望延長到兩、三個月，去到目的
地賣相、價格才會好。

    農業局長王俊雄表示，市府外銷補助一百七十萬元，各界關心國內藥檢標準與國際不
一致問題，市府將與中央協調爭取，讓藥檢標準與國際接軌。

    林佳龍表示，市府積極爭取清泉崗機場升級國際機場，不只是交通問題，更與農業外
銷發展息息相關，農產品搶時間，如果清泉崗機場可負起物流重任，大台中農產品荔枝、
高接梨或水蜜桃等就能「貨從雙港出」，協助農民解決運輸成本及農產品損壞率，顯示國
際機場對台中農工產品相當重要。

    何欣純也允諾，不論是荔枝物流、行銷、藥檢問題，她一定支持爭取中央協助，替地
方農友發聲，尤其清泉崗機場升級為國際機場的問題，不只是名字升級，設備、航廈等也
要實際升級。

    http://news.ltn.com.tw/news/local/paper/1002338

    (自由時報 2016/06/20)

"
On10n (洋蔥頭),fruits,[新聞] 〈南部〉南化愛文芒果運銷 首日不到900,Wed Jun 22 00:24:32 2016,"http://news.ltn.com.tw/news/local/paper/1002854

    〈南部〉南化愛文芒果運銷 首日不到900公斤

    〔記者吳俊鋒／南化報導〕

    台南山區愛文芒果開始採收，南化農會昨天啟動運銷機制，但因三月雨害，產量大減
，首日到貨量竟不到九百公斤，約是去年同期的五分之一，物以稀為貴，預期市場價格看
漲。

    約僅去年同期五分之一

    南化的芒果栽種面積近一千三百公頃，八十％是深受歡迎的愛文品種，每到產季，農
會就會展開共同運銷，嚴格分級，以自有品牌搶攻市場，今年受天候影響，收成少很多，
到貨狀況備受關注。

    供銷部主任林妙表示，比起上季，今年愛文的收果時間晚了六天，但首日到貨量卻無
法破千，為以往罕見，能選出逾四百五十公克的頂級品也很少，要搶購的客戶恐得再等一
下。

    頂級品少 收購價尚未訂

    林妙指出，深入地方所彙整的農情，芒果產量可能不到去年的三成，首日收購價尚未
訂出，會依照運往台北果菜市場的批發行情，並預估到貨情況，才能確定。

    她強調，今夏芒果鐵定不便宜，隨著產季到來，頂級品的價格將再往上波動，至於漲
幅多少，仍待觀察，她以目前農會已經訂出外銷韓國的愛文收購行情為例，大顆每公斤一
百九十元，是去年的三倍以上。

    至於外銷日本的愛文芒果才要開始驗藥，在收購細節上，農會、產銷班還未與貿易商
完成協議，但一般認為，頂級品的價格將更「高貴」。

    (自由時報 105/06/21)

"
Daron309 (大榮蟲),fruits,[新聞] 侍奉雙親返鄉種田 變火龍果達人,Thu Jun 23 00:16:01 2016,"http://news.ltn.com.tw/news/life/breakingnews/1735628

〔記者廖淑玲／雲林報導〕原本在台北當水電工的柯炳西，9年前為了侍奉雙親返鄉種田
，除了種小番茄還有火龍果，去年種了8分地的火龍果開始採收，品質不錯，每公斤叫價
80元，被其他果農封為火龍果達人。

火龍果分為黃皮白肉、紅皮紅肉和紅皮白肉3個品種，其中紅皮紅肉無需人工授粉、口感
佳，最受市場歡迎，雲林以「大紅」品種為主。

柯炳西說，火龍果裝箱後大多送往北部拍賣市場，今年未受氣候影響，拍賣價格維持在每
公斤80元，價格算平穩。

柯炳西強調，火龍果是第2年採收，正申請吉園圃驗證，但完全遵守安全用藥，讓消費者
吃得健康又安心，因火龍果病蟲害少，適合一般農地栽種。

父母親都年近90，當年為了照顧雙親舉家遷回雲林，雖然務農要風吹日曬，但有耕耘就有
收穫，加上父母、小孩都能照顧得到，柯炳西說，再辛苦都值得。

https://youtu.be/8As58NcY6JY

(自由時報 2016/06/20)

"
k0079 (彎手指),fruits,[廣宣] 南投竹山甜滋滋火龍果,Thu Jun 23 13:55:36 2016,"大家好，我們是在南投縣竹山鎮自產自銷的有機紅肉火龍果果農，從整地、施肥、除草到
開花結果，我們都是自己親力親為，且堅持用有機肥，不灑農藥的方式栽種，每顆都蠻甜
的(測試甜度約12～15度)，也都很大顆。

現在販售的規格是：10斤／1箱(約9-15顆不等，要看重量)，一箱600元。
運費：1箱100元，2箱以上(含2箱)免運費。

購買方式：
因為是小農自產自銷，產量不是很固定，
如要購買請先加 LINE ID :elly760422
楊小姐詢問，確定有貨再請匯款，
並將匯款單以及寄送地址相關資料傳到這個LINE告知，謝謝！

葉媽媽超甜火龍果粉絲團
https://www.facebook.com/pitayayeh

"
tanzztanzz (zz),fruits,[廣宣] 愛文芒果乾宅配,Sat Jun 25 15:25:24 2016,"愛文芒果乾

300g/230元
(一次訂購十包 可以免運 未達十包交貨便運費60)
今年產量銳減 沒有就等明年了...
請有興趣朋友把握

情人果乾 300g/170元 可混搭

line tim626

感恩

"
goood6673 (焊接大叔),fruits,[發問]蘋果皮到底要不要削掉???,Sat Jun 25 18:28:04 2016,"這問題一直困擾我許久
很多人說洗乾淨蘋果皮可以吃
但是 我也遇過有人說沒削皮吃了 過敏
所以~倒底要不要削皮??

"
comiccoom (在最深的红尘里重逢),fruits,[廣宣] 枋山山坡地芒果 自產自銷,Sat Jun 25 18:51:14 2016," 大家不好意思

 目前是枋山芒果的產季
 這是觀望許久的人下手的好時機
 因為山坡地的芒果真的很好吃，
 推薦給大家。
 到底為什麼要一直強調「山坡地」？
 生長在山坡地，可是愛文芒果的關鍵字噢！
 除了極適應山坡地的氣候，
 更因為山坡地排水功能非常好，
 愛文芒果不會吸收太多水分，
 體積雖不大，但甜度可是很能保證的！
 可惜，山坡地數量有限啊～
 所以就算親自來枋山一趟，
 也要買對生長在山坡地的芒果噢！
 這是我的舅舅親手栽種，
 生長在屏東枋山的山坡地，
 http://i.imgur.com/HRVLzjP.jpg
 http://i.imgur.com/4TEJ5rS.jpg
 曬了很充足的陽光，
 保證很甜的芒果。
 提醒大家別在外縣市買。貴。了！
 芒果最好吃的時候，
 就是等他表面看起來油油亮亮的，
 這時候冰到冰箱裡，
 變冰就可以吃嘍！

 保證在欉黃 且通過日本外銷農藥檢測
 且有吉園圃蔬果標章 絕對不會用化學農藥方式催熟

 價錢如下（含運費）
 純天然芒果乾 採用現削芒果烘烤 不加任何化學物品
 150G/150元(注意芒果乾過甜，牙齒不好請減量食用)

 芒果部分
 每顆都用網袋保護，避免運送時的碰撞
 採用秤重方式，多網袋多成本但不會變小顆歐
 每箱皆重十斤
 每箱皆重十斤
 很重要說兩次
 P.S.今年因氣候因素 許多芒果在寒流時受傷
產量約是去年的十分之一
 一箱12顆 1000元
 一箱15顆 900元
 一箱18顆 800元
 一箱20顆 700元

 以下為訂購單
http://goo.gl/forms/UNRFv7HwSYGij11u2

 聯絡資訊:王小姐
 手機:0936783336
 line id:qqb0605

"
x2020 (小張不是阿呆呆),fruits,[廣宣] 枋山吳家芒果,Sun Jun 26 00:47:07 2016,"
謝謝大家的支持，今年芒果期已結束，明年見！


各位好：
枋山吳家芒果自產自銷已經上市囉，目前預定約6/15(自然熟成故無法準確判斷何時會熟)
開始宅配訂購，大家可以參考一下，很抱歉的是今年因為產量的減少，所以不得已漲價了
，真的很抱歉，今年的價格比去年稍稍貴了一些，但是品質依然，還請大家多多體諒，今
年價格如下:
12顆裝含運850
15顆裝含運750
18顆裝含運700(每日限量)
以上品項，每箱都是10斤裝喔^_^
還有五斤的歡迎詢問
如果盤價有異動，會隨時做調整。
吳家芒果一律100%在欉黃且100%套袋，並且通過日本外銷藥檢標準，今年一樣也有吉園圃
標章，不會有農藥殘留問題，更不會用化學農藥方式催熟。
10箱以上每箱再減50元（最多3個地址），要團購可以站內我，一定有感折扣，有需要可
以私訊我們，或者填G單，感謝大家。
含運部分不包括
離島，離島部分請再洽詢我，感謝大家。
下面照片為裝箱好的狀況，大家可以看一下。
今年芒果的甜度大約都在15-18左右，今年18顆裝以下的數量減少（因為今年(105)產量只
有去年(104)的1/3），以上，如有任何問題，歡迎詢問。
訂購網址:http://goo.gl/forms/yMUYm9NMzHz4gw1h2
http://i.imgur.com/0O3JDUD.jpg

http://i.imgur.com/c0UYcxU.jpg

http://i.imgur.com/1euNjik.jpg

http://i.imgur.com/by9LCFY.jpg
"
